game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.459684,9.297631,0.000000,23,99,Wireless,16130,4793,1,2,0,2,0,0,390,0,0,25,0,23,0,0,0,122,124,185.40.67.108,5231,0.019626,0,0,0.041887,0.001501,Connected,23430280,20.226116,7,
0.000409,0.006125,0.027816,41,161,Wireless,21977,8050,0,0,0,0,0,0,2120,0,0,44,0,41,0,0,0,202,202,185.40.67.108,5231,0.012090,0,0,0.042530,0.000821,Connected,23430280,10.000512,7,
0.000041,0.000000,0.027816,72,152,Wireless,8723,13807,0,0,0,0,0,0,232,0,0,72,0,72,0,0,0,224,224,185.40.67.108,5231,0.007592,0,0,0.043045,0.001642,Connected,23430280,10.000009,7,
0.000036,0.000000,0.027816,33,160,Wireless,7851,6046,0,0,0,0,0,0,226,0,0,33,0,33,0,0,0,193,193,185.40.67.108,5231,0.004817,0,0,0.042327,0.000328,Connected,23430280,10.000013,7,
0.000029,0.000000,0.027816,34,186,Wireless,9113,6710,0,0,0,0,0,0,297,0,0,34,0,34,0,0,0,220,220,185.40.67.108,5231,0.004934,0,0,0.042272,0.000486,Connected,23430280,10.000012,7,
0.000030,0.000000,0.027816,32,175,Wireless,7741,6316,0,0,0,0,0,0,234,0,0,32,0,32,0,0,0,207,207,185.40.67.108,5231,0.004753,0,0,0.042507,0.000898,Connected,23430280,10.000001,7,
0.000030,0.000000,0.027816,33,155,Wireless,7423,5749,0,0,0,0,0,0,237,0,0,33,0,33,0,0,0,188,188,185.40.67.108,5231,0.004561,0,0,0.042204,0.000308,Connected,23430280,10.000001,7,
0.000030,0.000000,0.027816,33,165,Wireless,7591,6047,0,0,0,0,0,0,236,0,0,33,0,33,0,0,0,198,198,185.40.67.108,5231,0.004692,0,0,0.042276,0.000430,Connected,23430280,10.000002,7,
0.000030,0.000000,0.027816,33,177,Wireless,8617,6409,0,0,0,0,0,0,284,0,0,33,0,33,0,0,0,210,210,185.40.67.108,5231,0.005026,0,0,0.042325,0.000406,Connected,23430280,10.000001,7,
0.000030,0.000000,0.027816,32,186,Wireless,8893,6646,0,0,0,0,0,0,259,0,0,32,0,32,0,0,0,218,218,185.40.67.108,5231,0.004876,0,0,0.042481,0.000754,Connected,23430280,10.000013,7,
0.000030,0.000000,0.027816,34,177,Wireless,8434,6440,0,0,0,0,0,0,293,0,0,34,0,34,0,0,0,211,211,185.40.67.108,5231,0.005011,0,0,0.042309,0.000367,Connected,23430280,10.000340,7,
0.000050,0.000005,4.071908,90,235,Wireless,35269,11295,0,0,0,0,0,0,575,0,0,110,0,90,0,0,0,325,326,185.40.67.108,5231,0.014620,0,0,0.042576,0.000490,Connected,23430280,10.011809,7,
0.019646,0.000139,14.110287,248,270,Wireless,33598,20764,0,0,0,0,0,0,402,0,0,294,0,248,0,0,0,518,517,185.40.67.108,5231,0.030477,0,0,0.042744,0.000487,Connected,23430280,10.039062,7,
0.023114,0.000234,24.117903,215,305,Wireless,41142,21125,0,0,0,0,0,0,1123,0,0,297,0,215,0,0,0,520,521,185.40.67.108,5231,0.028877,0,0,0.042722,0.000720,Connected,23430280,10.008496,7,
0.017017,0.000014,34.122959,276,309,Wireless,47562,22642,0,0,0,0,0,0,1494,0,0,364,0,276,0,0,0,585,586,185.40.67.108,5231,0.037756,0,0,0.042724,0.000466,Connected,23430280,10.005916,7,
0.016651,0.000001,44.129189,278,308,Wireless,44967,23272,0,0,0,0,0,0,1289,0,0,343,0,278,0,0,0,586,584,185.40.67.108,5231,0.038312,0,0,0.042794,0.000541,Connected,23430280,10.006960,7,
0.016931,0.000012,54.134888,273,305,Wireless,46206,23694,0,0,0,0,0,0,1144,0,0,336,0,273,0,0,0,578,579,185.40.67.108,5231,0.037421,0,0,0.042788,0.000463,Connected,23430280,10.006501,7,
0.016790,0.000010,64.141113,270,293,Wireless,48697,22475,0,0,0,0,0,0,964,0,0,337,0,270,0,0,0,563,563,185.40.67.108,5231,0.035932,0,0,0.042715,0.000454,Connected,23430280,10.006846,7,
