[time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss % in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
4648,X.X.X.X,184,182,0,0,0,9,192,204,0,0,0,0,27,0.000000,4,23,35,23,35,8,7,1
29905,X.X.X.X,4023,1524,0,0,0,68,30,4,0,0,1,0,26,0.000000,2,23,40,23,40,67,62,0
40231,X.X.X.X,5137,1936,0,0,0,88,29,3,0,0,1,0,25,0.000000,2,22,40,22,31,87,82,0
50607,X.X.X.X,5752,2317,0,0,0,107,29,3,0,0,1,0,27,0.000000,2,22,40,24,31,106,101,0
60965,X.X.X.X,6345,2702,0,0,0,127,29,3,0,0,1,0,27,0.000000,2,22,40,23,33,126,121,0
71225,X.X.X.X,7269,3131,0,0,0,146,29,3,0,0,1,0,27,0.000000,2,22,40,23,33,145,140,0
81515,X.X.X.X,7846,3504,0,0,0,165,30,4,0,0,1,0,26,0.000000,3,22,40,23,39,164,159,0
91594,X.X.X.X,8627,3943,0,0,0,185,30,3,0,0,1,0,27,0.000000,5,22,48,23,48,184,178,0
101595,X.X.X.X,14518,4964,0,0,0,204,31,4,0,0,1,0,27,0.000000,5,22,48,23,39,202,195,0
111596,X.X.X.X,20398,5973,0,0,0,222,30,4,0,0,1,0,27,0.000000,5,22,48,23,45,221,214,0
121598,X.X.X.X,26519,6994,0,0,0,241,30,3,0,0,1,0,25,0.000000,1,22,48,23,30,240,233,0
131599,X.X.X.X,32670,8011,0,0,0,259,30,3,0,0,1,0,26,0.000000,2,22,48,23,31,258,251,0
141600,X.X.X.X,38974,9059,0,0,0,278,30,4,0,0,1,0,25,0.000000,3,22,48,23,35,277,270,0
151601,X.X.X.X,45090,10099,0,0,0,297,30,3,0,0,1,0,25,0.000000,2,22,48,23,29,296,289,0
161602,X.X.X.X,51396,11171,0,0,1,317,39,14,0,0,1,0,32,0.052632,7,22,97,23,97,315,307,0
171603,X.X.X.X,57514,12151,0,0,1,335,30,4,0,0,1,0,25,0.000000,3,22,97,23,31,334,326,0
181848,X.X.X.X,68734,13291,0,0,1,354,30,4,0,0,4,2936,26,0.000000,4,22,97,23,38,353,345,0
191849,X.X.X.X,75152,14300,0,0,1,374,30,3,0,0,10,0,25,0.000000,2,22,97,23,30,373,361,0
