game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version
0.457417,7.532298,0,20,94,Wireless,14281,5073,1,3,0,3,0,0,338,0,0,23,0,20,0,0,0,114,117,185.40.67.108,5231,0.013123,0,0,0.060441,0.008817,Connected,40623196,16.46702,7
0.076171,0.824009,0.034906,50,175,Wireless,24377,10302,0,0,0,0,0,0,1376,0,0,57,0,50,0,0,0,225,226,185.40.67.108,5231,0.006931,0,0,0.056561,0.00167,Connected,40623196,10.004354,7
0.016685,0,0.034906,70,151,Wireless,8657,15010,0,0,0,0,0,0,213,0,0,75,0,70,0,0,0,221,220,185.40.67.108,5231,0.005918,0,0,0.056316,0.001047,Connected,40623196,10.010967,7
0.016685,0,0.034906,40,163,Wireless,8002,7354,0,0,0,0,0,0,235,0,0,42,0,40,0,0,0,203,203,185.40.67.108,5231,0.004469,0,0,0.056467,0.001469,Connected,40623196,10.011048,7
0.016685,0,0.034906,35,172,Wireless,9196,6325,0,0,0,0,0,0,287,0,0,35,0,35,0,0,0,207,207,185.40.67.108,5231,0.004495,0,0,0.056782,0.001617,Connected,40623196,10.011009,7
0.016685,0,0.034906,36,180,Wireless,8016,6596,0,0,0,0,0,0,238,0,0,36,0,36,0,0,0,216,216,185.40.67.108,5231,0.004514,0,0,0.056478,0.001296,Connected,40623196,10.010941,7
0.016685,0,0.034906,34,169,Wireless,7668,6235,0,0,0,0,0,0,233,0,0,35,0,34,0,0,0,203,204,185.40.67.108,5231,0.004236,0,0,0.057529,0.003707,Connected,40623196,10.011086,7
0.016685,0,0.034906,35,156,Wireless,7515,5845,0,0,0,0,0,0,238,0,0,35,0,35,0,0,0,191,191,185.40.67.108,5231,0.004145,0,0,0.056989,0.00206,Connected,40623196,10.010987,7
0.016685,0,0.034906,36,167,Wireless,7723,6173,0,0,0,0,0,0,235,0,0,35,0,36,0,0,0,203,202,185.40.67.108,5231,0.00435,0,0,0.056571,0.001487,Connected,40623196,10.011211,7
0.016685,0,0.034906,35,185,Wireless,8931,6715,0,0,0,0,0,0,291,0,0,35,0,35,0,0,0,220,220,185.40.67.108,5231,0.004598,0,0,0.057094,0.001986,Connected,40623196,10.011002,7
0.016685,0,0.034906,35,182,Wireless,9175,6625,0,0,0,0,0,0,297,0,0,35,0,35,0,0,0,217,217,185.40.67.108,5231,0.004549,0,0,0.056369,0.001421,Connected,40623196,10.011026,7
0.016685,0,0.034906,36,179,Wireless,8372,6566,0,0,0,0,0,0,264,0,0,36,0,36,0,0,0,215,215,185.40.67.108,5231,0.004786,0,0,0.057043,0.002031,Connected,40623196,10.010936,7
0.019234,0.001395,8.842875,192,277,Wireless,47340,18005,0,0,0,0,0,0,635,0,0,237,0,192,0,0,0,469,471,185.40.67.108,5231,0.013525,0,0,0.05682,0.00196,Connected,40623196,10.011771,7
0.017093,0.000022,18.858467,268,284,Wireless,37422,21904,0,0,0,0,0,0,634,0,0,302,0,268,0,0,0,552,552,185.40.67.108,5231,0.016754,0,0,0.056866,0.00172,Connected,40623196,10.01661,7
0.016765,0.000004,28.86644,269,314,Wireless,44817,22589,0,0,0,0,0,0,1346,0,0,332,0,269,0,0,0,583,582,185.40.67.108,5231,0.018633,0,0,0.056584,0.001485,Connected,40623196,10.008857,7
0.016686,0,38.877396,281,308,Wireless,45571,22046,0,0,0,0,0,0,1462,0,0,343,0,281,0,0,0,589,589,185.40.67.108,5231,0.018833,0,0,0.056875,0.001937,Connected,40623196,10.011815,7
0.016685,0,48.887505,268,307,Wireless,47932,23003,0,0,0,0,0,0,1292,0,0,322,0,268,0,0,0,575,575,185.40.67.108,5231,0.018867,0,0,0.056622,0.001739,Connected,40623196,10.010924,7
0.016685,0,58.897579,257,297,Wireless,43476,21708,0,0,0,0,0,0,921,0,0,303,0,257,0,0,0,554,554,185.40.67.108,5231,0.016672,0,0,0.056733,0.001648,Connected,40623196,10.01094,7
0.016861,0.000019,69.013596,260,305,Wireless,54220,20306,0,0,0,0,0,0,1293,0,0,318,0,260,0,0,0,565,565,185.40.67.108,5231,0.017539,0,0,0.056811,0.001798,Connected,40623196,10.116662,7
0.016685,0,79.023727,271,310,Wireless,62980,19188,0,0,0,0,0,0,1496,0,0,350,0,271,0,0,0,581,582,185.40.67.108,5231,0.019293,0,0,0.056852,0.001735,Connected,40623196,10.011012,7
0.016713,0,89.034019,289,340,Wireless,97425,21980,0,0,0,0,0,0,2258,0,0,424,0,289,0,0,0,629,629,185.40.67.108,5231,0.021609,0,0,0.056585,0.001583,Connected,40623196,10.011175,7
0.016841,0.000012,99.036613,286,341,Wireless,102972,21405,0,0,0,0,0,0,2972,0,0,392,0,286,0,0,0,627,626,185.40.67.108,5231,0.022029,0,0,0.056501,0.001386,Connected,40623196,10.003456,7
0.016785,0.000002,109.039436,265,372,Wireless,114727,21625,0,0,0,0,0,0,2820,0,0,382,0,265,0,0,0,637,636,185.40.67.108,5231,0.021786,0,0,0.056346,0.001319,Connected,40623196,10.003641,7
0.016824,0.000011,119.048805,277,328,Wireless,80395,19906,0,0,0,0,0,0,2032,0,0,360,0,277,0,0,0,605,607,185.40.67.108,5231,0.020492,0,0,0.056587,0.001535,Connected,40623196,10.0101,7
0.016786,0.000004,129.052322,286,328,Wireless,67729,22454,0,0,0,0,0,0,2266,0,0,381,0,286,0,0,0,614,613,185.40.67.108,5231,0.02108,0,0,0.056489,0.00141,Connected,40623196,10.004372,7
0.016691,0,139.066025,290,338,Wireless,84789,23574,0,0,0,0,0,0,2606,0,0,397,0,290,0,0,0,628,628,185.40.67.108,5231,0.021363,0,0,0.056811,0.001826,Connected,40623196,10.014458,7
0.016691,0,149.079788,291,318,Wireless,71909,21090,0,0,0,0,0,0,1732,0,0,404,0,291,0,0,0,609,609,185.40.67.108,5231,0.020492,0,0,0.056507,0.001475,Connected,40623196,10.014781,7
0.016692,0,159.094101,290,317,Wireless,78674,20971,0,0,0,0,0,0,1634,0,0,411,0,290,0,0,0,607,608,185.40.67.108,5231,0.02046,0,0,0.056571,0.001397,Connected,40623196,10.015175,7
0.016685,0,169.104111,301,302,Wireless,71672,20610,0,0,0,0,0,0,1618,0,0,400,0,301,0,0,0,603,602,185.40.67.108,5231,0.020654,0,0,0.056516,0.001501,Connected,40623196,10.010906,7
0.016691,0,179.117752,284,316,Wireless,78312,20507,0,0,0,0,0,0,1851,0,0,373,0,284,0,0,0,600,601,185.40.67.108,5231,0.020255,0,0,0.056752,0.001799,Connected,40623196,10.014666,7
0.016685,0,189.127808,291,326,Wireless,78859,21492,0,0,0,0,0,0,1885,0,0,426,0,291,0,0,0,617,616,185.40.67.108,5231,0.02044,0,0,0.056345,0.001328,Connected,40623196,10.010853,7
0.016693,0,199.143097,291,322,Wireless,73675,21074,0,0,0,0,0,0,1900,0,0,391,0,291,0,0,0,613,613,185.40.67.108,5231,0.02125,0,0,0.056474,0.00142,Connected,40623196,10.015956,7
0.016699,0,209.144806,277,328,Wireless,85134,20791,0,0,0,0,0,0,2036,0,0,390,0,277,0,0,0,605,605,185.40.67.108,5231,0.021261,0,0,0.056386,0.001336,Connected,40623196,10.002534,7
0.016685,0,219.154922,276,371,Wireless,105977,21960,0,0,0,0,0,0,2694,0,0,390,0,276,0,0,0,647,647,185.40.67.108,5231,0.022426,0,0,0.056552,0.001439,Connected,40623196,10.010869,7
